title,url,price,date
"Q-Tee Super Slim Ultra Low Profile TV Wall Mount Bracket (37"" - 65"" Max 50kg)",http://www.mwave.com.au/product/qtee-super-slim-ultra-low-profile-tv-wall-mount-bracket-37-65-max-50kg-aa32059,$49.00 ,9/5/2023
"LG 24MK430H-B 24"" Full HD FreeSync 75Hz IPS LED Monitor",http://www.mwave.com.au/product/lg-24mk430hb-24-full-hd-freesync-75hz-ips-led-monitor-ac12817,$119.00 ,9/5/2023
"EIZO DuraVision FDF2382WT 23"" IPS FHD Touchscreen Monitor",https://www.mwave.com.au/product/eizo-duravision-fdf2382wt-23-ips-fhd-touchscreen-monitor-ac27670,"$1,999.95 ",9/5/2023
"Brateck Articulating Dual Monitor Stand - 17""-32""",https://www.mwave.com.au/product/brateck-articulating-dual-monitor-stand-1732-ac27901,$95.00 ,9/5/2023
"Brateck LDT12-C01 Single Articulating Steel Monitor Arm 13""-32""",https://www.mwave.com.au/product/brateck-ldt12c01-single-articulating-steel-monitor-arm-1332-ac31581,$39.00 ,9/5/2023
"Brateck Single Heavy-Duty Gas Spring Monitor Arm - 17""-35""",https://www.mwave.com.au/product/brateck-single-heavyduty-gas-spring-monitor-arm-1735-ac39165,$139.00 ,9/5/2023
"HP E24T G4 23.8"" Full HD Anti-Glare IPS Touch Monitor",https://www.mwave.com.au/product/hp-e24t-g4-238-full-hd-antiglare-ips-touch-monitor-ac41364,$489.00 ,9/5/2023
"Samsung T5300 32"" Full HD HDR Smart TV",https://www.mwave.com.au/product/samsung-t5300-32-full-hd-hdr-smart-tv-ac42554,$529.00 ,9/5/2023
"Samsung S7 32"" 4K UHD VA Monitor with Eye Care",https://www.mwave.com.au/product/samsung-s7-32-4k-uhd-va-monitor-with-eye-care-ac43909,$399.00 ,9/5/2023
"Brateck Pole-Mounted Gas Spring 17""-32"" Dual Monitor Stand",https://www.mwave.com.au/product/brateck-polemounted-gas-spring-1732-dual-monitor-stand-ac44588,$129.00 ,9/5/2023
"Lenovo ThinkVision T24t-20 23.8"" Full HD USB-C 99% sRGB IPS Touchscreen Monitor",https://www.mwave.com.au/product/lenovo-thinkvision-t24t20-238-full-hd-usbc-99-srgb-ips-touchscreen-monitor-ac45884,$549.00 ,9/5/2023
"Philips 241V8LA 23.8"" 75Hz FHD Adaptive Sync VA LCD Monitor",https://www.mwave.com.au/product/philips-241v8la-238-75hz-fhd-adaptive-sync-va-lcd-monitor-ac52073,$129.00 ,9/5/2023
"Dell U2723QE UltraSharp 27"" 4K 98% DCI-P3 IPS Monitor with 90W USB-C & RJ45",https://www.mwave.com.au/product/dell-u2723qe-ultrasharp-27-4k-98-dcip3-ips-monitor-with-90w-usbc-rj45-ac52269,$749.00 ,9/5/2023
"Samsung BU8000 65"" Crystal UHD 100Hz 4K Smart TV (2022 Model)",https://www.mwave.com.au/product/samsung-bu8000-65-crystal-uhd-100hz-4k-smart-tv-2022-model-ac54140,"$1,495.00 ",9/5/2023
"ASUS VT168HR 15.6"" WXGA Eye-Care Touch Monitor",https://www.mwave.com.au/product/asus-vt168hr-156-wxga-eyecare-touch-monitor-ac54175,$339.00 ,9/5/2023
"Samsung 65"" QN85B Neo QLED UHD 4K Smart TV (2022)",https://www.mwave.com.au/product/samsung-65-qn85b-neo-qled-uhd-4k-smart-tv-2022-ac58678,"$3,199.00 ",9/5/2023
"Samsung 75"" QN85B Neo QLED UHD 4K Smart TV (2022)",https://www.mwave.com.au/product/samsung-75-qn85b-neo-qled-uhd-4k-smart-tv-2022-ac58679,"$4,499.00 ",9/5/2023
"Samsung 85"" QN85B Neo QLED UHD 4K Smart TV (2022)",https://www.mwave.com.au/product/samsung-85-qn85b-neo-qled-uhd-4k-smart-tv-2022-ac58680,"$5,999.00 ",9/5/2023
"Acer V7 Series VA241YA 23.8"" 75Hz Full HD 1ms FreeSync Monitor",https://www.mwave.com.au/product/acer-v7-series-va241ya-238-75hz-full-hd-1ms-freesync-monitor-ac59673,$96.69 ,9/5/2023
